Country,MID,Weights,Rebills Attempts,Rebills SR%,Rebills Negative Rate%,do_not_honor,psp_risk_block,psp_risk_block_recoverable,card_limit_exceeded,mid_config_error,connector_error,code_not_mapped,request_invalid,3d_error
ES,221,250,365,0.20821917808219179,0.32602739726027397,0,28,0,91,0,0,0,0,0
ES,222,5,23,0.17391304347826086,0.043478260869565216,0,0,0,1,0,0,0,0,0
FI,54,30,6,0.0,0.6666666666666666,0,0,4,0,0,0,0,0,0
FI,55,30,1,1.0,0.0,0,0,0,0,0,0,0,0,0
FI,56,30,1,1.0,0.0,0,0,0,0,0,0,0,0,0
FI,62,30,1,1.0,0.0,0,0,0,0,0,0,0,0,0
FI,63,30,2,1.0,0.0,0,0,0,0,0,0,0,0,0
FI,65,30,5,0.4,0.0,0,0,0,0,0,0,0,0,0
FI,83,30,3,0.0,1.0,0,0,0,3,0,0,0,0,0
FI,88,30,1,1.0,0.0,0,0,0,0,0,0,0,0,0
FI,92,38,1,1.0,0.0,0,0,0,0,0,0,0,0,0
FI,112,5,1,1.0,0.0,0,0,0,0,0,0,0,0,0
FI,219,110,2,1.0,0.0,0,0,0,0,0,0,0,0,0
FI,220,110,1,1.0,0.0,0,0,0,0,0,0,0,0,0
FR,2,70,3,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0
FR,4,55,1,1.0,0.0,0,0,0,0,0,0,0,0,0
FR,5,110,1,1.0,0.0,0,0,0,0,0,0,0,0,0
FR,22,38,5,0.8,0.0,0,0,0,0,0,0,0,0,0
FR,23,59,30,0.26666666666666666,0.43333333333333335,0,6,7,0,0,1,2,0,0
FR,24,20,14,0.07142857142857142,0.42857142857142855,0,6,0,0,0,0,0,0,0
FR,25,85,30,0.16666666666666666,0.7,0,2,19,0,0,0,0,0,0
FR,26,5,31,0.25806451612903225,0.16129032258064516,1,2,2,0,0,0,2,0,0
FR,52,150,637,0.17739403453689168,0.5180533751962323,171,17,142,0,0,0,0,2,0
FR,53,100,547,0.15722120658135283,0.5978062157221207,149,12,166,0,0,0,0,0,0
FR,54,150,599,0.19365609348914858,0.5492487479131887,168,5,156,0,0,0,0,0,0
FR,55,10,507,0.1992110453648915,0.5680473372781065,171,19,98,0,0,0,0,0,0
FR,56,1,510,0.20588235294117646,0.5274509803921569,117,1,151,0,0,0,0,0,0
FR,62,1,466,0.15879828326180256,0.5708154506437768,120,4,142,0,0,0,0,0,0
FR,63,37,128,0.2109375,0.6328125,49,0,32,0,0,0,0,0,0
FR,64,1,180,0.2388888888888889,0.5666666666666667,69,2,31,0,0,0,0,0,0
FR,65,200,410,0.1902439024390244,0.5560975609756098,111,0,117,0,0,0,0,0,6
FR,66,1,13,0.46153846153846156,0.23076923076923078,0,0,3,0,0,0,0,0,0
FR,83,31,403,0.16129032258064516,0.533498759305211,2,213,0,0,0,0,0,0,0
FR,84,0,429,0.039627039627039624,0.7808857808857809,1,334,0,0,0,0,0,0,0
