Country,MID,Weights,Initial Attempts,Initials SR%,Initials Negative Rate%,do_not_honor,psp_risk_block,psp_risk_block_recoverable,card_limit_exceeded,mid_config_error,connector_error,code_not_mapped,request_invalid,3d_error
FR,102.0,20.0,11.0,0.5454545454545454,0.18181818181818182,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
FR,109.0,5.0,8.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
FR,110.0,5.0,6.0,0.5,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
FR,111.0,5.0,8.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
FR,112.0,5.0,3.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FR,218.0,20.0,209.0,0.36363636363636365,0.09090909090909091,0.0,19.0,0.0,0.0,0.0,0.0,4.0,7.0,28.0
FR,219.0,50.0,67.0,0.29850746268656714,0.07462686567164178,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
FR,220.0,0.0,110.0,0.42727272727272725,0.05454545454545454,1.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,11.0
FR,221.0,150.0,287.0,0.4878048780487805,0.04529616724738676,2.0,11.0,0.0,0.0,0.0,0.0,3.0,5.0,47.0
FR,222.0,0.0,16.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
HU,24.0,105.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,25.0,120.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,52.0,1.0,22.0,0.6818181818181818,0.22727272727272727,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
HU,53.0,30.0,13.0,0.5384615384615384,0.15384615384615385,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
HU,54.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,55.0,10.0,16.0,0.5,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
HU,56.0,30.0,14.0,0.5714285714285714,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
HU,62.0,30.0,20.0,0.45,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HU,63.0,30.0,23.0,0.4782608695652174,0.21739130434782608,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
HU,64.0,90.0,8.0,0.375,0.625,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,65.0,10.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,83.0,30.0,13.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
HU,84.0,1.0,22.0,0.45454545454545453,0.09090909090909091,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
HU,85.0,1.0,23.0,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
HU,88.0,30.0,20.0,0.35,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
HU,89.0,10.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HU,90.0,30.0,14.0,0.2857142857142857,0.42857142857142855,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
HU,98.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,101.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,109.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,112.0,5.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HU,218.0,100.0,20.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HU,219.0,1.0,21.0,0.5714285714285714,0.09523809523809523,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HU,220.0,1.0,61.0,0.6885245901639344,0.01639344262295082,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0
HU,221.0,1.0,14.0,0.35714285714285715,0.14285714285714285,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
HU,222.0,100.0,25.0,0.6,0.08,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0
IT,22.0,38.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
IT,23.0,38.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
IT,24.0,20.0,4.0,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
IT,25.0,45.0,3.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
IT,26.0,60.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
IT,52.0,20.0,32.0,0.375,0.34375,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0
IT,53.0,50.0,161.0,0.36645962732919257,0.37267080745341613,50.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,26.0
IT,54.0,200.0,231.0,0.329004329004329,0.37662337662337664,65.0,0.0,22.0,0.0,0.0,0.0,0.0,2.0,48.0
IT,55.0,40.0,99.0,0.26262626262626265,0.46464646464646464,32.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,20.0
IT,56.0,150.0,245.0,0.2857142857142857,0.44081632653061226,88.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,51.0
IT,62.0,80.0,144.0,0.3263888888888889,0.4861111111111111,52.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,15.0
IT,63.0,30.0,318.0,0.32075471698113206,0.3710691823899371,97.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,75.0
IT,64.0,20.0,33.0,0.30303030303030304,0.5454545454545454,15.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0
IT,65.0,60.0,222.0,0.26576576576576577,0.4189189189189189,73.0,0.0,20.0,0.0,0.0,0.0,0.0,4.0,54.0
IT,83.0,1.0,3.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,84.0,150.0,112.0,0.5,0.08928571428571429,0.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0
IT,85.0,10.0,23.0,0.30434782608695654,0.13043478260869565,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
IT,88.0,0.0,8.0,0.25,0.625,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
IT,89.0,0.0,4.0,0.0,0.75,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,90.0,0.0,15.0,0.3333333333333333,0.5333333333333333,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0
IT,98.0,1.0,5.0,0.2,0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
IT,99.0,1.0,7.0,0.2857142857142857,0.2857142857142857,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
IT,100.0,1.0,5.0,0.2,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,101.0,10.0,13.0,0.3076923076923077,0.23076923076923078,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0
IT,102.0,10.0,19.0,0.3684210526315789,0.3157894736842105,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0
IT,109.0,1.0,28.0,0.17857142857142858,0.4642857142857143,3.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0
IT,110.0,5.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
IT,111.0,5.0,9.0,0.2222222222222222,0.1111111111111111,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
IT,112.0,20.0,40.0,0.3,0.225,6.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,10.0
IT,218.0,15.0,24.0,0.4166666666666667,0.20833333333333334,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
IT,219.0,10.0,40.0,0.35,0.15,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
